query,prediction,ground_truth,f1_score,exact_match
কোন দুটি দেশ প্রুশিয়ার সাথে পৃথক শান্তি সিদ্ধান্ত নিয়েছে?  ,"

সুইডেনের মতো রাশিয়াও প",সুইডেনের মতো রাশিয়াও প্রুশিয়ার সাথে পৃথক শান্তি সমাপ্ত করেছে।  ,0.46153846153846156,0
যুদ্ধ থেকে গ্রেট ব্রিটেন কী অর্জন করেছিল ওয়েস্ট ইন্ডিজে?  ,"

ক্যারিবিয়ান দ্বীপপুঞ্জ,","ওয়েস্ট ইন্ডিজের কিছু পৃথক ক্যারিবিয়ান দ্বীপপুঞ্জ, প",0.4444444444444445,0
যুদ্ধ থেকে গ্রেট ব্রিটেন আফ্রিকাতে কী অর্জন করেছিল?  ,"

উপকূলে সেনেগালের উপনিবেশ এবং ফরাসী ব্যবসায়ের আউ�",পশ্চিম আফ্রিকার উপকূলে সেনেগালের উপনিবেশ এ,0.4615384615384615,0
যুদ্ধের ফলে ফ্রান্সের উপনিবেশগুলিতে কী ঘটেছিল?  ,"

ফরাসী লুইসিয়ানা অর্জন করে",ফ্রান্স তার অনেক উপনিবেশ থেকে বঞ্চিত ছিল এ,0.0,0
যুদ্ধ কীভাবে ফ্রান্সকে আর্থিকভাবে প্রভাবিত করেছিল?  ,"

ভারী যুদ্ধ ণের সাথে নিজেকে কাটিয়ে তুলেছিল",ভারী যুদ্ধ ণের সাথে নিজেকে কাটিয়ে তুলেছিল যে তার অদক্ষ আর্থিক ব্যবস্থা সবেমাত্র পরিচালনা করতে পারে। ,0.6086956521739131,0
"""দ্বিতীয় শত বছরের যুদ্ধের নজির কী?  ","

বিশ্বযুদ্ধ","্দ শতাব্দীর আরও বিখ্যাত এবং সংক্ষিপ্ত সংগ্রামের স্মরণ করিয়ে দেওয়া, ",0.0,0
পরে সংঘাত কী ছিল যা কেউ কেউ প্রথম বিশ্বযুদ্ধকে বিবেচনা করেছিল?  ,"

যুদ্ধটিকে প্রথম ""বিশ্বযুদ্ধ"" হিসাবে আখ্যায়িত করা হ�",পরে নেপোলিয়োনিক যুদ্ধগুলির মত সংঘাতের দিকে। ,0.0,0
নেপলস কেন নিরপেক্ষ থাকবে?  ,"

ব্রিটেন ও প্রুশিয়ার বিরুদ্ধে ইউরোপের মহান শক্তির বির","নেপলস, সিসিলি এবং স্যাভয়, যদিও ফ্রেঞ্চো-স্প্যানিশ দলের পক্ষে ছিলেন, ব্রিটিশ শক্তির ভয়ে জোটে যোগ দিতে অস্বীকার করেছিলেন। ",0.07999999999999999,0
নেটিভ আমেরিকান উপজাতির জন্য ফলাফল কি ছিল?  ,"

বসতি থেকে বাদ দেওয়া হয়েছিল;",স্থানীয় আমেরিকান উপজাতিদের বসতি থেকে বাদ দেওয়া হয়েছিল; ,0.7692307692307693,0
পরবর্তী পন্টিয়াক যুদ্ধে নেটিভ আমেরিকান উপজাতিরা কী অর্জন করেছিল?  ,"

যুদ্ধ-পূর্ব অবস্থাতে ফিরিয়ে দেওয়ার ক্ষেত্রেও ব্যর","; পরবর্তী সংঘাত, যা পন্টিয়াক যুদ্ধ নামে পরিচিত, তাদের যুদ্ধ-পূর্ব অবস্থাতে ফিরিয়ে দেওয়ার ক্ষেত্রেও ব্যর্থ হয়েছিল। ই",0.45454545454545453,0
দুটি কারণ কী ছিল যা প্রুশিয়ানদের জন্য ফলাফলটি খালাস করেছিল?  ,"

সৌভাগ্য এবং সফল কৌশলের সংমিশ্রণে",ভাগ্য এবং সফল কৌশলের ,0.6666666666666665,0
প্রুশিয়ার নেতা কে ছিলেন?  ,"

কিং ফ্রেডরিক গ্রেট",কিং ফ্রেডরিক গ্রেটকে ,0.6666666666666666,0
অস্ট্রিয়া কি লাভ বা হারিয়েছিল?  ,"

ব্রিটিশদের দেওয়া ভর্তুকি ব্রিটিশদের পক্ষে তেমন কোন স","ব্রিটিশ সামরিক প্রচেষ্টায় অস্ট্রিয়ার পক্ষে সাইলেসিয়াকে বাঁচানো যায়নি, ",0.125,0
রাশিয়ান-অস্ট্রিয়ান চুক্তিতে প্রুশিয়ান আধিপত্য সম্পর্কিত অন্য কোন ক্ষেত্রের কথা বলা হয়েছিল?  ,"

পোল্যান্ডকে","গ্লাতজ বর্তমানে কোডজকো, পোল্যান্ড অস্ট্রিয়ায় গণনা ক",0.0,0
দ্বিতীয় রাজা জর্জ এর বাড়ি কি ছিল?  ,"

হ্যানোভেরিয়ান রাজা জর্জ ত",ানোভারকে ,0.0,0
ফ্রান্স কীভাবে উদ্বিগ্ন হয়ে হ্যানোভারকে দখল করতে প্রুশিয়াকে সহায়তা করেছিল?  ,"

ফ্রেঞ্চো-প্রুশিয়ান আক্রমণ থেকে",প্রুশিয়ার স্বার্থে মধ্য ইউরোপে তাদের সেনা সরিয়ে নেওয়ার কোনও ইচ্ছা ছিল না।  ,0.0,0
ফ্রান্স কেন হ্যানোভার আক্রমণ করতে চাইবে?  ,"

ফ্রান্সের বিরুদ্ধে যুদ্ধ আবার শুরু করা হত, তবে হ্যানো","ফ্রান্স পনিবেশিক সম্প্রসারণে খুব আগ্রহী ছিল এবং গ্রেট ব্রিটেনের বিরুদ্ধে যুদ্ধে হ্যানোভারের দুর্বলতা কাজে লাগাতে আগ্রহী ছিল, ",0.15384615384615383,0
ফ্রান্সের সাথে যুদ্ধের মাধ্যমে colonপনিবেশিক সম্প্রসারণ পুনরায় চালু করা হলে হ্যানোভারের প্রতি ব্রিটেনের কী বাধ্যবাধকতা ছিল?  ,"

সামঞ্জস্য ছিল",হ্যানোভারকে ফ্রেঞ্চো-প্রুশিয়ান আক্রমণ থেকে সুরক্ষিত করতে হয়েছিল। ,0.0,0
লে সিক্রেট ডু রো সম্পর্কে কোন ফরাসী আধিকারিককে অন্ধকারে রাখা হয়েছিল?  ,"

ব্যক্তিগত রাজনৈতিক উদ্দেশ্যগুলি অনুসরণের লক্ষ্য নি�",া। তার বিদেশমন্ত্রীর অ,0.0,0
ফ্রেডরিক প্রুশিয়ার জন্য কোন দুটি ভৌগোলিক চেয়েছিলেন?  ,"

ব্র্যান্ডেনবার্গ এবং সাইলেসিয়া দ",স্যাকসনি এবং পোলিশ পশ্চিম প্রসিয়াকে ,0.22222222222222224,0
ফ্রেডরিক স্যাক্সনি এবং পশ্চিম প্রুশিয়ার পক্ষে যুদ্ধে অংশ নিলে কোন দেশ সমর্থন প্রত্যাখ্যান করবে?  ,"

ফরাসী স",ফরাসী সমর্থন আশা করতে পারেননি। ,0.28571428571428575,0
হ্যানোভারকে ব্রিটিশদের কাছ থেকে নেওয়ার চেষ্টা করার বিষয়ে তাঁর উদ্বেগ কী ছিল?  ,"

ফরাসী সমর্থন আশা করতে পারেননি",তিনি অস্ট্রো-রাশিয়ার আক্রমণে পড়তে পারেন। ,0.0,0
কোন দেশটি খুশি হয়েছিল যে ব্রিটেন তার হ্যানোভারের ভোট জোসেফকে তি পবিত্র রোমান সম্রাট হিসাবে নির্বাচিত করতে ব্যবহার করেছিল?  ,"

অস্ট্রিয়া",অস্ট্রিয়াকে ,0.0,0
কোন দেশ ও ব্যক্তি অসন্তুষ্ট হয়েছিলেন যে ব্রিটেন হানভার ভোটকে জোসেফকে পবিত্র রোমান সম্রাট হিসাবে নির্বাচিত করার জন্য ব্যবহার করেছিল?  ,"

ফ্রেডরিক এ",ফ্রেডরিক এবং প্রুশিয়ার ,0.4,0
অস্ট্রো-রাশিয়ান জোটে যোগ দেওয়ার ক্ষেত্রে ব্রিটেনের একটি প্রধান লক্ষ্য কী ছিল?  ,"

ফ্রান্সের বিরুদ্ধে হ্যানোভারের স্বার্থ রক্ষা করা",ফ্রান্সের বিরুদ্ধে হ্যানোভারের স্বার্থ রক্ষা করা। এ,0.923076923076923,0
অস্ট্রিয়ার কৌনিতস কী ছিলেন সাইলেসিয়া বন্দী করার ক্ষেত্রে ফরাসী সহায়তার জন্য বাণিজ্য করতে আগ্রহী?  ,"

নেদারল্যান্ডস",ফ্রান্সের সহায়তার জন্য অস্ট্রিয়ান নেদারল্যান্ডসকে বাণিজ্য করতেও প্রস্তুত ছ,0.0,0
ওয়েস্টমিনস্টারের কনভেনশনে কোন দেশগুলি একত্রিত হয়েছিল?  ,"

ব্রিটেন ও প্রুশিয়া",ব্রিটেন শীঘ্রই রাশিয়ার ,0.3333333333333333,0
ওয়েস্টমিনস্টার কনভেনশন কখন স্বাক্ষরিত হয়?  ,"

১৫৫৬ স","১  জানুয়ারী, ১৫৫৬ স",0.6666666666666666,0
লিভোনিয়ান-লিথুয়ানিয়ান সীমান্তে সৈন্যদল স্থাপন করতে পেরে কেন বেশুুজেব খুশি হয়েছিল?  ,"

ব্রিটেন শীঘ্রই রাশিয়ার দিকে ফিরে যায়।","বেসথুজেভ, ধরে নিলেন যে প্রস্তুতিটি প্রুশিয়ার বিরুদ্ধে পরিচালিত হয়েছিল, ব",0.0,0
ভার্সাই চুক্তিতে অংশ নেওয়া কারা ছিল?  ,"

ফ্রান্স এ","অস্ট্রিয়া, বিশেষত কৌনিত্জ এই পরিস্থিতিকে তাদের সর্বোচ্চ উপকারে ব্যবহার করেছিল। এখনকার বিচ্ছিন্ন ফ্রান্স অ",0.125,0
অস্ট্রিয়া এবং ফ্রান্স একে অপরকে রক্ষার অঙ্গীকার করেছিল কত সেনা?  ,"

২৪,০০০ মানুষকে","২৪,০০০ মানুষকে ",1.0,1
ফোর্ট ডুকসনে যেখানে নির্মিত হয়েছিল এখন কোন শহরটি অবস্থিত?  ,"

পিটসবার্গ, পেনসিলভেনিয়া গ","পিটসবার্গ, পেনসিলভেনিয়া গ",1.0,1
কারা ব্রিটিশ মিলিশিয়া ফরাসিদের ফোর্ট ডুকসনে বহিষ্কার করেছিল?  ,"

জর্জ ওয়াশিংটনের নেতৃত্বে তারা ১ ১৭৫৪ স",েছিল। জর্জ ওয়াশিংটনের ,0.4,0
ফরাসী জেনারেল জর্জ ওয়াশিংটনের আত্মসমর্পণের জন্য কোথায়?  ,"

ফোর্কস এ",দুর্গ নির্মাণ ব,0.0,0
কোন দেশ উত্তর আমেরিকায় নিয়মিত সেনা প্রেরণ করেছে?  ,"

ব্রিটেন এ",ব্রিটেন এবং ফ্রান্স এ,0.6666666666666666,0
যিনি দুর্গে ব্রিটিশদের হামলার নেতৃত্ব দিয়েছিলেন। Duquesne?  ,"

এডওয়ার্ড ব্র্যাডক ফ",ব্রিটিশ মেজর জেনারেল এডওয়ার্ড ব্র্যাডক ফ,0.6666666666666666,0
ব্রিটেন এবং ফ্রান্সের মধ্যে নৌ-লড়াইয়ের ফলাফল কী হয়েছিল?  ,"

বহিষ্কারের পরে",অ্যাডমিরাল এডওয়ার্ড বসকোয়েন ফরাসি জাহাজ আলসাইডে ১ ৫৫ খ্রিস্টাব্দের ৮ জুন আক্রমণ চালিয়েছিল এবং এটি এবং দুটি ট্রুপ জাহাজকে ধরে ন,0.0,0
মধ্য ইউরোপে ব্রিটিশ স্বার্থ সমর্থনকারী সেনাবাহিনী কে নেতৃত্ব দিয়েছিল?  ,"

ফ্রেডরিককে",ফ্রেডরিককে গ্রেট অফ প্রুশিয়ার প,0.33333333333333337,0
ব্রিটিশ প্রুশিয়ার সাথে জুটি বেঁধে কোন দেশ ফ্রান্সের সাথে জোট বেঁধেছিল?  ,"

অস্ট্রিয়া",অস্ট্রিয়াকে ফ্রান্সের পক্ষে র,0.0,0
পিট ফ্রান্স থেকে কোন অবস্থানগুলি চেয়েছিল?  ,"

উত্তর আমেরিকা এবং ভারতে",উত্তর আমেরিকা এবং ভারতে ,1.0,1
পিটের প্রাথমিক সামরিক সুবিধা কী ছিল?  ,"

রয়্যাল নেভি, যা সমুদ্রকে নিয়ন্ত্রণ করতে এবং যতট","ব্রিটেনের প্রধান অস্ত্র ছিল রয়্যাল নেভি, ",0.28571428571428575,0
পিট কীভাবে ব্রিটিশদের নিয়মিত সেনা বাড়ানোর পরিকল্পনা করেছিলেন?  ,"

তেরো আমেরিকান উপনিবেশ থেকে পনিবেশিক শক্তি ব্যবহার করার",ধীনে তেরো আমেরিকান উপনিবেশ থেকে পনিবেশিক শক্তি ব্যবহার করার পরিকল্পনা করেছিলেন। ,0.8421052631578948,0
পিটের কৌশল কীভাবে ব্রিটেনের ভবিষ্যতের পরিকল্পনাগুলিকে প্রভাবিত করেছিল?  ,"

পৃথক করে তুলেছিলেন",তার পরেও ব্রিটিশরা তার কৌশল অব্যাহত রেখেছি,0.0,0
ব্রিটেন ও ফ্রান্সের মধ্যে যুদ্ধ কখন ঘোষিত হয়েছিল?  ,"

১৮ মে ব",১৮ মে ব্রিটেন ও ফ্রান্সের মধ্যে যুদ্ধ আনুষ্ঠানিকভাবে ঘোষণা করা হয়েছিল।  ,0.28571428571428575,0
যুদ্ধের ঘোষণার সময়টি কীভাবে ব্রিটেন ও ফ্রান্সের মধ্যে উত্তর আমেরিকার দ্বন্দ্বের সাথে তুলনা করেছিল?  ,"

ওহিও দেশে যুদ্ধ শুরু হওয়ার প্রায় দু'বছর পরে ১",ওহিও দেশে যুদ্ধ শুরু হওয়ার প্রায় দু'বছর পরে ১,1.0,1
উত্তর আমেরিকাতে ব্রিটিশ এবং ফরাসী সংঘর্ষের খবরে প্রুশিয়ার দ্বিতীয় ফ্রেডরিক কীভাবে প্রতিক্রিয়া জানালেন?  ,"

গ্রেট ব্রিটেনের সাথে একটি জোট গঠন করেছিলেন।",াজ্য স্যাকসনি সীমান্ত পেরিয়ে প্রুশিয়ান সেনাদের নেতৃত্ব দিয়েছিলেন। ,0.0,0
সাকসনি কোন দেশের সাথে একত্রিত হয়েছিল?  ,"

প্রুশিয়ার",৫৬-এ তিনি অস্ট্রিয়ার সাথে লিগের একটি ছোট ছোট রাজ্য স,0.0,0
স্যাক্সনির আগ্রাসনের একটি লক্ষ্য কী ছিল?  ,"

স্যাক্সনিকে ধরে ফেলতেন এবং প্রুশিয়ার হুমকিস্বরূপ এ","তিনি স্যাক্সনিকে ধরে ফেলতেন এবং প্রুশিয়ার হুমকিস্বরূপ এটিকে নির্মূল করতেন, ",0.7058823529411764,0
ব্রুনসুইকের যুবরাজ ফার্ডিনান্দের কমান্ড বর্ণনা কর।  ,"

প্রায় ১৫,০০০ জনের একটি কলাম ছিল।","প্রায় ১৫,০০০ জনের একটি কলাম ছ",0.8333333333333334,0
ব্রুনসুইচ-বেভারের ডিউকের আদেশটি বর্ণনা কর।  ,"

ব্রুনসুইকের যুবরাজ ফার্ডিনান্দের কমান্ডে প্রায় ১৫,�","১৫,০০০ জনের একটি কলাম ছ",0.0,0
ফিল্ড মার্শাল জেমস কিথের কমান্ড বর্ণনা করুন  ,"

তদনুসারে, মোরেভিয়া বা হাঙ্গেরি থেকে আক্রমণ থেকে রক","৩০,০০০ সৈন্যের একটি সেনা ব",0.15384615384615385,0
স্যাকসনে ফ্রেডরিকের কতটা প্রতিরোধের মুখোমুখি হয়েছিল?  ,"

স্যাকসন ও অস্ট্রিয়ান সেনাবাহিনী অপ্রস্তুত ছিল এবং তা�",স্যাকসন ও অস্ট্রিয়ান সেনাবাহিনী অপ্রস্তুত ছিল এবং তাদের বাহিনী ছড়িয়ে ছিটিয়ে ছিল। ফ,0.6666666666666667,0
স্যাক্সনরা কী জোরদারদের প্রত্যাশা করেছিল?  ,"

প্রুশিয়ান সেনাবাহিনী",ফ্রেডরিক বিচ্ছিন্ন স্যাকসন সেনাবাহিনীকে জেনারেল ব্রাউনয়ের অধীনে অস্ট্রিয়ান সেনাবাহিনী দ্বারা শক্তিশালীকরণ থেকে বিরত রাখেন। ,0.125,0
স্যাকসন সেনাবাহিনীর কী হল?  ,"

অপ্রস্তুত ছিল এবং তাদের বাহিনী ছড়িয়ে ছিটিয়ে ছিল।",স্যাক্সন সেনাবাহিনী ১৫৫৬ সালের অক্টোবরে আত্মসমর্পণ করে এবং জোর করে প্রুশিয়ান সেনাবাহিনীতে অন্তর্ভুক্ত করা হয়। ,0.08695652173913045,0
ইউরোপের ক্রোধের ফলাফল কী হয়েছিল?  ,"

প্রুশিয়ান বিরোধী জোটকে শক্তিশালী করার দিকে পরিচালিত",প্রুশিয়ান বিরোধী জোটকে শক্তিশালী করার দিকে পরিচালিত করে। এ,0.8750000000000001,0
ইউরোপের প্রুশিয়ানরা বা উত্তর আমেরিকার ব্রিটিশরা কে আরও ভাল করেছে?  ,"

ব্রিটেন বিস্মিত হয়েছিল",উত্তর আমেরিকাতে ব্রিটিশ অভিযানের হতাশার বিপরীতে এই মহাদেশে প্রুশিয়ার নেতৃত্বাধীন বাহিনীর পক্ষে বছরটি ,0.0,0
হ্যানোভারকে রক্ষার জন্য কে নেতৃত্ব দিয়েছিল?  ,"

ডিউক অফ কম্বারল্যান্ডের",ডিউক অফ কম্বারল্যান্ডের অধীনে স,0.7499999999999999,0
1757 সালের মে মাসে অস্ট্রিয়ানরা কোথায় পিছু হটেছিল?  ,"

প্রাগের",প্রাগের রক্তাক,0.6666666666666666,0
যিনি 1757 সালে প্রাগের উপরে প্রুশিয়ান হামলার নেতৃত্ব দিয়েছিলেন  ,"

ফ্রেডরিক দ্বিতীয় বোহেমিয়া কিংডমে",ফ্রেডরিক দ্বিতীয় ব,0.5714285714285715,0
প্রাগের 1757 যুদ্ধে হতাহতের মতো কী ছিল?  ,"

বড় ধরনের হ","উভয় বাহিনীই বড় ধরনের হতাহতের শিকার হয়, প",0.36363636363636365,0
অস্ট্রিয়ান মার্শাল দাউন প্রাগের পরিস্থিতি কীভাবে বিপরীত করেছিলেন?  ,"

অবরোধ করে","যুদ্ধ থেকে পালিয়ে আসা ১ ১৬,০০০ জনকে বেছে নিয়েছিলেন। এই সেনাবাহিনী দিয়ে তিনি আস্তে আস্তে প্রাগকে মুক্তি দিতে চলে আসেন। প",0.0,0
মেমলে প্রুশিয়ানদের পরাজয়ের কারণ কী হয়েছিল?  ,"

বোমা হামলার পাঁচ দিন পরে",আর্টিলারি বোমা হামলার পাঁচ দিন প,0.7272727272727272,0
মেমলে বসবাসরত রাশিয়ানরা কীভাবে প্রুশিয়ায় গভীরভাবে সফল হতে পেরেছিল?  ,"

আর্টিলারি বোমা হামলার",একটি ছোট্ট প্রুশিয়ান বাহিনীকে পরাজিত করেছিল। ,0.0,0
প্রুশিয়া আক্রমণ করতে কোন অতিরিক্ত দেশ উত্সাহিত হয়েছে?  ,"

সুইডেন প",সুইডেন প,1.0,1
প্রুশিয়ার চার প্রতিপক্ষের নাম বলুন।  ,"

ফ্রান্স, অস্ট্রিয়া, রাশিয়া এবং সুইডেন","পশ্চিম থেকে ফ্রান্স, দক্ষিণ থেকে অস্ট্রিয়া, পূর্ব থেকে রাশিয়া এবং উত্তর থেকে সুইডেন চ",0.5263157894736842,0
হ্যানোভেরিয়ার কোন নেতা হস্টেনবেকের যুদ্ধে হেরে গেছেন?  ,"

কম্বারল্যান্ডের অধীনে মূল হ্যানোভেরিয়ান সেনাবাহিনী প",কম্বারল্যান্ডের ,0.2857142857142857,0
হ্যানোভারের যুদ্ধে কোন দেশ জিতেছে?  ,"

কম্বারল্যান্ডের",রাজিত ,0.0,0
হ্যানওভারের ভবিষ্যতের অংশগ্রহণকে কীভাবে বর্ণনা করা হবে?  ,"

ক্লোজারজেভেনের কনভেনশনে","কনভেনশন হ্যানোভার এবং ব্রান্সউইককে যুদ্ধ থেকে সরিয়ে দেয়, ",0.2,0
সুইডেনের বিরুদ্ধে প্রুশিয়ান প্রতিরোধের ফলাফল কী ছিল?  ,"

সুইডেনের বেশিরভাগ পোমেরানিয়া দখল করে এবং এর রাজধা�","প্রুশিয়ান সেনাবাহিনী সুইডিশদের ফিরিয়ে নিয়ে যায়, সুইডেনের বেশিরভাগ পোমেরানিয়া দখল করে এবং ",0.6,0
বার্লিনকে কীভাবে বাঁচানো হয়েছিল?  ,"

মুক্তিপণের জন্য রক্ষা করা হয়েছিল","২০০,০০০ থ্যালারদের আলোচনার জন্য মুক্তিপণের জন্য রক্ষা করা হয়েছিল। ",0.7142857142857143,0
ফ্রেডরিক 1758 সালে কোথায় আক্রমণ করেছিলেন  ,"

ডমস্টাডটল-এর যুদ্ধে",ফ্রেডরিক মোরাভিয়ার আক্রমণ শুরু করেন এ,0.0,0
ফ্রেডেরিক কোন শহর অবরোধ করেছিলেন?  ,"

ওলম্যাটজ",  ,0.0,0
সরবরাহ কাফেলার ক্ষতিতে ফ্রেডরিক কীভাবে প্রতিক্রিয়া জানাল?  ,"

ভেঙে ফেলে এবং মোরাভিয়া থেকে সরে আসেন।",ফ্রেডরিক অবরোধটি ভেঙে ফেলে এবং মোরাভিয়া থেকে সরে আসেন। এ,0.8235294117647058,0
ফারদিনান কে হা নোভার থেকে বিতাড়ন করেছিলেন?  ,"

ওয়েস্টফালিয়া থ",ফরাসিনা,0.0,0
দখলদার রাশিয়ানদের বিরুদ্ধে ফ্রেডরিক কত বড় একটি বাহিনী প্রেরণ করেছিলেন?  ,"

৩৫,০০০ স","৩৫,০০০ সৈন্যের ",0.5,0
ডিফেন্সে কয়জন রাশিয়ান ছিলেন?  ,"

৪৩,০০০ স", একটি রাশিয়ান সেনাবাহিনীর ,0.0,0
কোন সেনা প্রত্যাহার করে?  ,"

রাশিয়ানরা",রাশিয়ানরা প্রত্যাহার করে নেয় ,0.4,0
প্রুশিয়া অন্য কোন ফ্রন্টে লড়াই করছিল কোন দেশ?  ,"

রাশিয়া",সুইডিশ স,0.0,0
অস্ট্রিয়ার জেনারেল কি হোচকির্চে প্রুশিয়ানকে অবাক করে দিয়েছিল?  ,"

মার্শাল দাউনের",মার্শাল দাউনের ,1.0,1
অস্ট্রিয়ান সেনারা কীভাবে শীতকাল কাটিয়েছিল?  ,"

অস্ট্রিয়ানরা সাকসনির হোচকির্চের যুদ্ধে প্রধান প্রুশ",", দাউনের সেনারা শীতের জন্য অস্ট্রিয়ান ভূখণ্ডে ফিরে যেতে বাধ্য হয়েছিল, ",0.0,0
1759 / এ প্রুশিয়ান সেনাবাহিনী কীভাবে পারফর্ম করেছিল?  ,"

পরাজয় দেখেছে",সালে বেশ কয়েকটি প্রুশিয়ান পরাজয় দেখেছে। ক,0.4444444444444445,0
ফ্রান্সের দ্বারা ব্রিটেনের পরিকল্পিত আক্রমণ কোথায় ছিল?  ,"

লোয়ারের মুখের কাছে",লোয়ারের মুখের কাছে স,0.8571428571428571,0
আক্রমণের জন্য কীভাবে ফরাসী তাদের সেনা ব্রিটেনে নিয়ে যাওয়ার পরিকল্পনা করেছিল?  ,"

ব্রেস্ট এবং টোলনের বহরগুলিকে কেন্দ্রীভূত করে",তাদের ব্রেস্ট এবং টোলনের বহরগু,0.5454545454545454,0
বার্লিনে রাশিয়ার আগ্রাসনের নেতৃত্ব কে দিয়েছিল?  ,"

জেনারেল লাউডনের",জেনারেল লাউডনের ন,0.8,0
ফ্রেডেরিকের দাউনের পরাজয় এত ব্যয়বহুল কেন হয়েছিল?  ,"

তুরগাউয়ের যুদ্ধে",তিনি খুব ভারী হতাহতের শিকার হন এবং অস্ট্রিয়ানরা সুশৃঙ্খলভাবে পশ্চাদপসরণ করেছিল।  ,0.0,0
1762 সালে যুদ্ধে যোগ দেওয়া একটি নতুন দেশ শনাক্ত করুন?  ,"

পর্তুগাল",স্পেনের ,0.0,0
1762 সালে যুদ্ধে যোগ দেওয়া একটি দ্বিতীয় নতুন দেশ শনাক্ত করুন?  ,"

পর্তুগাল",পর্তুগাল এ,0.6666666666666666,0
পর্তুগাল কি ফ্রান্স বা ব্রিটেনের পক্ষে ছিল?  ,"

ব্রিটেনের প",পর্তুগাল এর পরে ব্রিটেনের পক্ষে যুদ্ধে যোগ দেয়। ,0.2,0
প্রুশিয়ানরা কীভাবে রাশিয়ানদের অগ্রগতি কমিয়ে দিয়েছিল?  ,"

বেশ কয়েকটি সফল অভিযান শুরু করেছিল।",প্রুশিয়ান সেনাবাহিনী তাদের বিরুদ্ধে বেশ কয়েকটি সফল অভিযান শুরু করেছি,0.625,0
রাশিয়ার বিরুদ্ধে প্রুশিয়ার অন্যতম জয়ের আকার কত ছিল?  ,"

বেশ কয়েকটি সফল অভিযান শুরু করেছিল।","। এর মধ্যে একটি, সেপ্টেম্বরে সাধারণ প্লাটেনের নেতৃত্বে প্রায় ২,০০০ রাশিয়ান নিহত হয়েছিল, বেশিরভাগই বন্দী হয়েছিল এবং ৫,০০০ ওয়াগন ধ্বংস হয়েছিল। ",0.0,0
অস্ট্রিয়ানদের কাছে একটি বড় প্রুশিয়ান ক্ষতি চিহ্নিত করুন।  ,"

কোলবার্গের ক",অস্ট্রিয়ানরা শোয়েডনিতজকে ধরে নিয়ে ,0.0,0
ব্রিটেনের প্রুশিয়া সম্পর্কে উদ্বেগ কী ছিল?  ,"

পতন এখন আসন্ন।",। ব্রিটেনে অনুমান করা হয়েছিল যে মোট পার্সিয়ান পতন এখন আসন্ন।  ,0.4615384615384615,0
ফ্রেডরিক কয়টা সেনা রেখে গেছে?  ,"

১২,০০,০০০ লোকের একটি বৃহত্তর সেনাবাহিনী জ","০,০০০ লোকের এ",0.2222222222222222,0
সুইডেনের সাথে প্রুশিয়ার সম্পর্ক কী বদলেছে?  ,"

যুদ্ধের মধ্যস্থতা করেছিলেন",তৃতীয় পিটার একবারে বার্লিন থেকে রাশিয়ার সেনাবাহিনীকে ফিরিয়ে আনেন দেখুন: সেন্ট পিটার্সবার্গের সন্ধি ১৭৬২ এবং ফ্রেডেরিকের সুইডেনের সাথে যুদ্ধের মধ্যস্থতা করেছিলেন। ,0.25,0
তৃতীয় পিটারের অপ্রত্যাশিত পদক্ষেপটি কী ফ্রেডরিককে সাহায্য করেছিল?  ,"

ব্রিটেন এখন হুমকি দিয়েছিল য","ফ্রেডরিকের কমান্ডে তিনি তাঁর নিজস্ব সেনার একটি বাহিনীও রেখেছিলেন, ",0.0,0
1763 সালে ফ্রেডরিকের অবস্থা কী ছিল?  ,"

মারাত্মক ছিল না, তবে তাঁর রাজ্য ধ্বংস হয়েছিল এবং তার �",তাঁর রাজ্য ধ্বংস হয়েছিল এবং তার সেনাবাহিনী মারাত্মকভাবে দুর্বল হয়ে পড়েছিল। ,0.5714285714285713,0
ফ্রেডরিকের রাশিয়া থেকে অতিরিক্ত বাহিনীর কী হয়েছিল?  ,"

স্যাক্সনির বেশিরভাগ অংশ দখল করেছিলেন"," হয়েছিল, যিনি প্রুশিয়ার সাথে রাশিয়ার জোট শেষ করেছিলেন এবং যুদ্ধ থেকে সরে এসেছিলেন। ",0.1111111111111111,0
প্রুশিয়া এবং অস্ট্রিয়া উভয়ের দুর্বল হওয়ার ফল কী হয়েছিল?  ,"

সেনাবাহিনী মারাত্মকভাবে দুর্বল হয়ে পড়েছিল।","১ ৬৩৩ সালে হুবার্টসবার্গের চুক্তিতে একটি শান্তি নিষ্পত্তি হয়, মধ্য ইউরোপের যুদ্ধের অবসান ঘটে। ",0.10526315789473682,0
কে জার্মানিতে ব্রিটিশ সেনা পাঠানোর সিদ্ধান্ত নিয়েছে?  ,"

পিট এ",পিট এখন জার্মানিতে সেনা পাঠানোর জন্য প্রস্তুত; এ,0.4,0
আক্রমণের সৈন্যদের নেতৃত্ব কে দিয়েছিল?  ,"

মার্লবরো এবং স্যাকভিল,",প্রবীণ জেনারেল ব্লইহক,0.0,0
কোথায় সেনা অবতরণ করেছে?  ,"

চেরবার্গে",  ,0.0,0
ব্রিটিশরা চেরবার্গের সাথে কীভাবে আচরণ করেছিল?  ,"

নৌ-বোমাবরণে আচ্ছাদিত,","এর দুর্গ, ডকস এবং জাহাজ ধ্বংস করেছিল।  ",0.0,0
